Year,Team_Pace,League_Pace,LPPP,LPPG,LebronsTeam
2004,90.8,90.1,1.029,93.4,CLE
2005,89.7,90.9,1.061,97.2,CLE
2006,89.8,90.5,1.062,97.0,CLE
2007,90.8,91.9,1.065,98.7,CLE
2008,90.2,92.4,1.075,99.9,CLE
2009,88.7,91.7,1.083,100.0,CLE
2010,91.4,92.7,1.076,100.4,CLE
2011,90.9,92.1,1.073,99.6,MIA
2012,91.2,91.3,1.046,96.3,MIA
2013,90.7,92.0,1.058,98.1,MIA
2014,91.2,93.9,1.066,101.0,MIA
2015,92.3,93.9,1.056,100.0,CLE
2016,93.3,95.8,1.064,102.7,CLE
2017,96.2,96.4,1.088,105.6,CLE
2018,98.0,97.3,1.086,106.3,CLE
